poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,politician,politician_id,yes,no,alternate_answers
6459338e-c8b3-4df1-a301-756175d46e4f,d7661595-0345-4bf2-b37b-f8fa234d783c,Pew Research Center,,,Pew Research Center,253,Pew Research Center,,,Live Phone/Probability Panel,,US,4/20/26,4/26/26,,,,985b9199-65fb-4318-8aa6-9ccffc3b35cb,5026,a,,a,,5/1/26 12:15,,https://www.pewresearch.org/short-reads/2026/05/01/americans-remain-critical-of-trump-administrations-approach-to-iran/,,,,,,,Donald Trump,,34,64,3
f00aece2-09ef-4d62-a48f-457aaf650e94,e2e08257-41fa-4956-ba29-b83cf7163c09,ActiVote,,,ActiVote,721,ActiVote,,,App Panel,,US,4/1/26,4/30/26,,,,17c2e3a1-2a2b-486d-bc21-e225db1cb9fb,636,rv,,rv,,5/1/26 11:10,,https://www.activote.net/trumps-approval-below-40/,,,,,,,Donald Trump,,39.5,55.9,4.6
f061083a-71f8-4ddf-8d67-f3ec0b604694,ae31ea8f-0d54-476d-ab98-61b258a0a986,RMG Research,62ca8b2a-418d-46f9-8c64-1f4a14ba3a80,Napolitan News Service,RMG Research,555,RMG Research,,,,,US,4/22/26,4/30/26,,,,e6553092-0a0a-4c59-9705-f3aac3d64013,3000,rv,,rv,,5/1/26 9:02,,https://napolitannews.org/assets/pdfs/69f4a20a42385-gcm26-0429-toplines-trump-job-approval.pdf,,,,,,,Donald Trump,,42,57,2
0a0f0269-28d9-4b80-93aa-a68e297543c5,312f97da-ebc5-446e-8856-cdded6ea1251,Big Data Poll,b519a86f-dbb8-46a2-8215-6abb6f6f389d,Public Polling Project,Big Data Poll,251,Big Data Poll,,,,,US,4/25/26,4/28/26,,,,9dd98170-b3ab-4259-8695-661c8b39da5d,3176,rv,,rv,,4/30/26 11:53,,https://www.bigdatapoll.com/blog/national-mood-worsens-for-republicans-in-april-2026-national-poll/,,,,,,,Donald Trump,,39.6,56.9,3.5
0a0f0269-28d9-4b80-93aa-a68e297543c5,312f97da-ebc5-446e-8856-cdded6ea1251,Big Data Poll,b519a86f-dbb8-46a2-8215-6abb6f6f389d,Public Polling Project,Big Data Poll,251,Big Data Poll,,,,,US,4/25/26,4/28/26,,,,fb06e890-7c30-436d-ad8b-a49dc8a443b1,2874,lv,,lv,,4/30/26 11:53,,https://www.bigdatapoll.com/blog/national-mood-worsens-for-republicans-in-april-2026-national-poll/,,,,,,,Donald Trump,,40.7,56.9,2.4
ed64d566-2044-4cc5-b8a7-74dece09873a,7af36d36-6e24-41ad-9c51-b6de9ff0edb2,Leger,,,Leger,572,Leger,,,Nonprobability Panel,,US,4/17/26,4/20/26,,,,00468446-cabb-4cdc-b78b-63056b0f5149,1004,a,,a,,4/29/26 11:34,,https://leger360.com/us-politics-and-public-sentiment-trends-from-the-april-2026-survey-of-americans/,,,,,,,Donald Trump,,36,53,11
520716cd-d0d2-4b0c-8d7a-7280c508b493,72908461-a4cf-42da-9ef4-f4299cc7b9d8,Navigator Research,,,Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),,,Nonprobability Panel,,US,4/23/26,4/27/26,,,,6f5aa193-581f-4af3-9efc-303765cc17ef,1000,rv,,rv,,4/29/26 9:31,,https://navigatorresearch.org/two-months-later-most-americans-dont-think-trumps-war-with-iran-is-worth-it-and-see-no-end-in-sight/,,,,,,,Donald Trump,,40,58,2
258b1102-00ba-4976-ab5d-acbfc045c141,fd91b31c-8953-44da-bfb5-fc15fadb2f5e,The Argument/Verasight,,,The Argument/Verasight,,,,,,,US,4/20/26,4/23/26,,,,476d99c4-0dec-4765-9a4a-8d97687a7c2b,1516,rv,,rv,,4/29/26 8:49,,https://www.theargumentmag.com/p/why-democrats-cant-win-more-trump,,,,,,,Donald Trump,,39,60,2
6ff04347-da0f-45f7-9feb-590ccf5b4754,adedfb3e-f4d9-4121-ae17-125b39b27da3,InsiderAdvantage,,,InsiderAdvantage,243,InsiderAdvantage,,,,,US,4/26/26,4/27/26,,,,ba477afc-3dee-4acc-82f8-36751d574782,800,lv,,lv,,4/29/26 8:05,,https://insideradvantage.com/insideradvantage-national-survey-trump-job-approval-bouncing-back-approve-44-disapprove-49/,,,,,,,Donald Trump,,44.1,49,6.9
08c32cf7-150c-44e2-bd7b-23486beba603,7485e3b7-8959-43d7-985f-95417076d068,Emerson College,,,Emerson College,88,Emerson College,,,Probability Panel/Nonprobability Panel/Text-to-Web,,US,4/24/26,4/26/26,,,,61396431-d8e5-4c6a-a952-5f88fc98b817,1000,lv,,lv,,4/29/26 8:02,,https://emersoncollegepolling.com/april-2026-national-poll/,,,,,,,Donald Trump,,39.6,55.9,4.5
343b0730-6b51-4158-b7ae-6b4c1485a289,4bc528cc-f55c-4f8b-8c90-adfe09f46c76,Morning Consult,9ceb70bb-704e-45d3-91ce-431088a02f9f,Deseret News,Morning Consult,218,Morning Consult,,,,,US,4/15/26,4/20/26,,,,6e42d1e4-d129-4358-8662-3f9af4aa2e30,2057,rv,,rv,,4/28/26 14:08,,https://www.deseret.com/politics/2026/04/22/trump-polling-underwater-in-utah-among-religious/,,,,,,,Donald Trump,,42,54,4
90226afa-be53-4128-a6ba-762555b06089,a6ab99b0-9d30-4a77-bbe7-03c9a3566a22,Ipsos,3dc40107-581b-4428-94a4-00d603640476,Reuters,Ipsos,154,Ipsos,,,,,US,4/24/26,4/27/26,,,,054640cb-8bf2-4f03-a692-421f2c635e9e,1014,rv,,rv,,4/28/26 13:19,,https://www.reuters.com/data/trumps-approval-rating-2025-01-21/,,,,,,,Donald Trump,,38,62,1
90226afa-be53-4128-a6ba-762555b06089,a6ab99b0-9d30-4a77-bbe7-03c9a3566a22,Ipsos,3dc40107-581b-4428-94a4-00d603640476,Reuters,Ipsos,154,Ipsos,,,,,US,4/24/26,4/27/26,,,,09320ec9-adda-43de-8f1c-e41e72dcc1a6,1269,a,,a,,4/28/26 13:19,,https://www.reuters.com/data/trumps-approval-rating-2025-01-21/,,,,,,,Donald Trump,,34,64,2
c88c48cd-0fe8-4330-a873-fdc52a80c827,4bc528cc-f55c-4f8b-8c90-adfe09f46c76,Morning Consult,,,Morning Consult,218,Morning Consult,,,,,US,4/10/26,4/12/26,,,,2bdb3745-6ea5-45b0-854f-8a25c99e1098,2201,rv,,rv,,4/28/26 13:12,,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,,,,,,,Donald Trump,,43.84,53.44,2.72
cc645fc1-9aeb-452b-9e1d-a2ea836a2526,e006101f-7fff-4657-a2e9-19e3032386a2,HarrisX/Harris Poll,2659a402-6df7-481c-accb-d06e645828f8,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,,,Nonprobability Panel,,US,4/23/26,4/26/26,,,,0b16c24a-23fa-4218-94b4-efbb08be95d3,2745,rv,,rv,,4/28/26 9:45,,https://harvardharrispoll.com/key-results-april-2026/,,,,,,,Donald Trump,,42,53,5
cc645fc1-9aeb-452b-9e1d-a2ea836a2526,e006101f-7fff-4657-a2e9-19e3032386a2,HarrisX/Harris Poll,2659a402-6df7-481c-accb-d06e645828f8,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,,,Nonprobability Panel,,US,4/23/26,4/26/26,,,,95ae9fae-def4-41a8-9108-e4537b0eef1c,,lv,,lv,,4/28/26 9:45,,https://harvardharrispoll.com/key-results-april-2026/,,,,,,,Donald Trump,,46,51,
664203e2-c054-409f-86c9-f556cb76376a,59ef5d62-c6ba-41a3-b2cd-24b8543e62b9,YouGov,146144a2-08d6-4c6b-b912-f067ed647252,Economist,YouGov,391,YouGov,,,Nonprobability Panel,,US,4/24/26,4/27/26,,,,83ceff42-1ecf-4fba-a6ba-40d9f8ab6e15,1647,rv,,rv,,4/28/26 9:24,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Ty7ikPd.pdf,,,,,,,Donald Trump,,40,57,2
664203e2-c054-409f-86c9-f556cb76376a,59ef5d62-c6ba-41a3-b2cd-24b8543e62b9,YouGov,146144a2-08d6-4c6b-b912-f067ed647252,Economist,YouGov,391,YouGov,,,Nonprobability Panel,,US,4/24/26,4/27/26,,,,acab1205-fa44-4545-9232-a5d056e0880a,1836,a,,a,,4/28/26 9:24,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Ty7ikPd.pdf,,,,,,,Donald Trump,,37,59,4
0c2178c6-e99b-4cae-889e-14c406e5ad52,4bc528cc-f55c-4f8b-8c90-adfe09f46c76,Morning Consult,,,Morning Consult,218,Morning Consult,,,,,US,4/24/26,4/27/26,,,,777e578d-a440-4d00-ade0-2499681c2b1e,2201,rv,,rv,,4/28/26 7:47,,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,,,,,,,Donald Trump,,44.73,52.83,2.44
ccd2eb20-0a71-46f7-9861-84a39e541714,642c8e51-c965-4a1b-b10d-1614d73cb18d,Quantus Insights,,,Quantus Insights,859,Quantus Insights,,,Text-to-Web,,US,4/21/26,4/23/26,,,,2e5a546d-1852-4f08-85ef-0746c5b25721,1452,lv,,lv,,4/24/26 15:37,,https://quantusinsights.org/f/quantus-survey-a-divided-electorate-a-narrow-democratic-edge,,,,,,,Donald Trump,,42.6,56.3,1.1
fff9945b-e16e-416b-a41b-61ae5e67426f,ae31ea8f-0d54-476d-ab98-61b258a0a986,RMG Research,62ca8b2a-418d-46f9-8c64-1f4a14ba3a80,Napolitan News Service,RMG Research,555,RMG Research,,,,,US,4/14/26,4/23/26,,,,1869cbde-2121-49dc-a46b-b6b0dacc99d1,3000,rv,,rv,,4/24/26 9:00,,https://napolitannews.org/assets/pdfs/69eb65d886cf4-gcm26-0422-toplines-trump-job-approval.pdf,,,,,,,Donald Trump,,42,55,2
64b05196-f48b-462f-90e1-8335b4e9595b,96ca8540-cc0b-41a9-9f43-35c85caf7147,Survey 160,,,Survey 160,557,Survey 160,,,Nonprobability Panel/Text-to-Web,,US,4/8/26,4/13/26,,,,0391b5cb-37f0-473e-9811-01b87777f921,1539,rv,,rv,,4/23/26 14:33,,https://www.survey160.com/methodological-research-blog/survey-160-tracking-poll-april-2026,,,,,,,Donald Trump,,37,60,2
a6159282-a8ae-4f51-a488-3d7f3b19d236,4da0e617-fda4-4c29-a2c0-1055e6af4eaf,Beacon Research/Shaw & Company Research,d380c59c-d59c-465b-90a9-cb0f2d14e4f0,Fox News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,,,Live Phone/Text-to-Web,,US,4/17/26,4/20/26,,,,69f8fbf6-dccf-4c65-9457-745864e3e4f7,1001,rv,,rv,,4/23/26 7:38,,https://www.foxnews.com/politics/fox-news-poll-economic-gloom-trump-ratings-signal-tough-gop-midterm-path,,,,,,,Donald Trump,,42,58,0
835d66ae-7e7a-453e-9e72-f79ba213e723,9ab6b302-92ac-4132-97a6-c3580bd5ed77,Hart Research Associates/Public Opinion Strategies,9f34fd03-e85e-4fdb-8e1b-5530101480f0,CNBC,Hart Research Associates/Public Opinion Strategies,221,Hart Research Associates/Public Opinion Strategies,,,,,US,4/15/26,4/19/26,,,,febf0305-3b96-4447-81c6-e09eba998f9e,1000,rv,,rv,,4/23/26 7:09,,https://www.cnbc.com/2026/04/23/trumps-approval-rating-on-economy-and-overall-falls-to-lowest-of-his-two-terms-cnbc-survey-shows.html,,,,,,,Donald Trump,,40,58,2
ea5e829d-5f3a-46cc-9699-d8c62953544a,c5697d47-fde7-463c-8168-078a475b379e,Marquette Law School,,,Marquette Law School,195,Marquette University Law School,,,Probability Panel,,US,4/8/26,4/16/26,,,,12daa867-f0e3-4e40-8407-1fa87a57bb5c,982,a,,a,,4/22/26 7:35,,https://law.marquette.edu/poll/2026/04/22/detailed-results-of-the-marquette-law-school-supreme-court-poll-april-8-16-2026-national-issues/,,,,,,,Donald Trump,,39,60,
ea5e829d-5f3a-46cc-9699-d8c62953544a,c5697d47-fde7-463c-8168-078a475b379e,Marquette Law School,,,Marquette Law School,195,Marquette University Law School,,,Probability Panel,,US,4/8/26,4/16/26,,,,8d0a3534-d08a-405e-b889-aaa70414d1d0,870,rv,,rv,,4/22/26 7:35,,https://law.marquette.edu/poll/2026/04/22/detailed-results-of-the-marquette-law-school-supreme-court-poll-april-8-16-2026-national-issues/,,,,,,,Donald Trump,,41,59,
aec85465-0e77-46fe-9f23-17f3764f9578,59ef5d62-c6ba-41a3-b2cd-24b8543e62b9,YouGov,,,YouGov,391,YouGov,,,Nonprobability Panel,,US,4/14/26,4/19/26,,,,40ee8919-725b-4737-b6b3-bd12b2f0701d,2232,a,,a,,4/21/26 16:26,,https://d3nkl3psvxxpe9.cloudfront.net/documents/Opinion_about_Donald_Trump_poll_results.pdf,,,,,,,Donald Trump,,38,57,6
23dc4c57-e4c9-40f8-be18-961829fd82c6,bd24b786-354a-4dae-8616-a5a888d550e4,AP-NORC,,,AP-NORC,397,AP-NORC,,,Probability Panel,,US,4/16/26,4/20/26,,,,41bd96b3-8b18-45ec-ae45-d6be217c3f8b,2596,a,,a,,4/21/26 16:25,,https://apnorc.org/projects/fewer-approve-of-trumps-handling-of-the-economy/?doing_wp_cron=1776802753.6802430152893066406250,,,,,,,Donald Trump,,33,67,0
503b5b37-bfbb-45bf-b15e-ce668f2b53b8,932da08a-7f8a-48e3-a92a-c443c039fbd1,Echelon Insights,,,Echelon Insights,407,Echelon Insights,,,Nonprobability Panel,,US,4/17/26,4/20/26,,,,a06c29c0-a0d6-4966-aaea-7c6e603a8c9e,1012,lv,,lv,,4/21/26 13:45,,https://echeloninsights.com/insights/april-2026-verified-voter-omnibus,,,,,,,Donald Trump,,41,57,1
